accession	protein_id	header	sequence_length	source_db	retrieved_at_utc	query
XP_033283819.1	1831635112	XP_033283819.1 angiotensin-converting enzyme 2 isoform X1 [Orcinus orca]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019273510.1	1111195084	XP_019273510.1 angiotensin-converting enzyme 2 isoform X2 [Panthera pardus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_019273509.1	1111195082	XP_019273509.1 angiotensin-converting enzyme 2 isoform X1 [Panthera pardus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004269705.1	466008441	XP_004269705.1 angiotensin-converting enzyme 2 isoform X1 [Orcinus orca]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049499446.1	2277632250	XP_049499446.1 angiotensin-converting enzyme 2 [Panthera uncia]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049499445.1	2277632248	XP_049499445.1 angiotensin-converting enzyme 2 [Panthera uncia]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049499444.1	2277632246	XP_049499444.1 angiotensin-converting enzyme 2 [Panthera uncia]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_032963186.1	1823900610	XP_032963186.1 angiotensin-converting enzyme 2 [Rhinolophus ferrumequinum]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_051035166.1	2318667731	XP_051035166.1 angiotensin-converting enzyme 2 [Phodopus roborovskii]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049729322.1	2282233026	XP_049729322.1 angiotensin-converting enzyme 2 isoform X2 [Elephas maximus indicus]	689	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049729321.1	2282233024	XP_049729321.1 angiotensin-converting enzyme 2 isoform X1 [Elephas maximus indicus]	800	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049622745.1	2280040339	XP_049622745.1 angiotensin-converting enzyme 2 isoform X2 [Suncus etruscus]	796	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_049622744.1	2280040337	XP_049622744.1 angiotensin-converting enzyme 2 isoform X1 [Suncus etruscus]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_052519536.1	2411821207	XP_052519536.1 angiotensin-converting enzyme 2 [Budorcas taxicolor]	810	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_052027647.1	2330885174	XP_052027647.1 angiotensin-converting enzyme 2 [Apodemus sylvaticus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_051840427.1	2328054075	XP_051840427.1 angiotensin-converting enzyme 2 [Antechinus flavipes]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_051840426.1	2328054073	XP_051840426.1 angiotensin-converting enzyme 2 [Antechinus flavipes]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_050998310.1	2318372153	XP_050998310.1 angiotensin-converting enzyme 2 [Acomys russatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_050633586.1	2309511227	XP_050633586.1 angiotensin-converting enzyme 2 [Macaca thibetana thibetana]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_050633585.1	2309511225	XP_050633585.1 angiotensin-converting enzyme 2 [Macaca thibetana thibetana]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_050633584.1	2309511223	XP_050633584.1 angiotensin-converting enzyme 2 [Macaca thibetana thibetana]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_052600713.1	2414762699	XP_052600713.1 angiotensin-converting enzyme 2 [Peromyscus californicus insignis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025292925.3	2272759713	XP_025292925.3 angiotensin-converting enzyme 2 [Canis lupus dingo]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_025292934.3	2272759709	XP_025292934.3 angiotensin-converting enzyme 2 [Canis lupus dingo]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_048652301.1	2262896334	XP_048652301.1 angiotensin-converting enzyme 2 [Marmota marmota marmota]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_015343540.1	984104456	XP_015343540.1 angiotensin-converting enzyme 2 [Marmota marmota marmota]	817	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_048296586.1	2246062367	XP_048296586.1 angiotensin-converting enzyme 2 [Myodes glareolus]	812	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_048192746.1	2240605409	XP_048192746.1 angiotensin-converting enzyme 2 [Perognathus longimembris pacificus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045850936.1	2181395945	XP_045850936.1 angiotensin-converting enzyme 2 isoform X3 [Meles meles]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045850935.1	2181395943	XP_045850935.1 angiotensin-converting enzyme 2 isoform X2 [Meles meles]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045850934.1	2181395941	XP_045850934.1 angiotensin-converting enzyme 2 isoform X1 [Meles meles]	852	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045661027.1	2176682985	XP_045661027.1 angiotensin-converting enzyme 2 isoform X2 [Ursus americanus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045661026.1	2176682983	XP_045661026.1 angiotensin-converting enzyme 2 isoform X1 [Ursus americanus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045661025.1	2176682981	XP_045661025.1 angiotensin-converting enzyme 2 isoform X1 [Ursus americanus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045711877.1	2177264861	XP_045711877.1 angiotensin-converting enzyme 2 [Phyllostomus hastatus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036295422.1	1912666917	XP_036295422.1 angiotensin-converting enzyme 2 [Pipistrellus kuhlii]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045394292.1	2168924947	XP_045394292.1 angiotensin-converting enzyme 2 [Lemur catta]	981	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045327194.1	2166944634	XP_045327194.1 angiotensin-converting enzyme 2 isoform X2 [Leopardus geoffroyi]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045327193.1	2166944632	XP_045327193.1 angiotensin-converting enzyme 2 isoform X1 [Leopardus geoffroyi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_045327192.1	2166944630	XP_045327192.1 angiotensin-converting enzyme 2 isoform X1 [Leopardus geoffroyi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004710002.2	2160816751	XP_004710002.2 angiotensin-converting enzyme 2 [Echinops telfairi]	824	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044792565.1	2128311732	XP_044792565.1 angiotensin-converting enzyme 2 isoform X2 [Bubalus bubalis]	743	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_006041602.1	594033761	XP_006041602.1 angiotensin-converting enzyme 2 isoform X1 [Bubalus bubalis]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044996208.1	2147872873	XP_044996208.1 angiotensin-converting enzyme 2 isoform X2 [Jaculus jaculus]	692	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004671523.1	507575963	XP_004671523.1 angiotensin-converting enzyme 2 isoform X1 [Jaculus jaculus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044906242.1	2131076653	XP_044906242.1 angiotensin-converting enzyme 2 isoform X2 [Felis catus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044906241.1	2131076651	XP_044906241.1 angiotensin-converting enzyme 2 isoform X2 [Felis catus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044906240.1	2131076649	XP_044906240.1 angiotensin-converting enzyme 2 isoform X1 [Felis catus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044906239.1	2131076647	XP_044906239.1 angiotensin-converting enzyme 2 isoform X1 [Felis catus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044945135.1	2130909268	XP_044945135.1 angiotensin-converting enzyme 2 isoform X2 [Mustela putorius furo]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_004758942.1	511877964	XP_004758942.1 angiotensin-converting enzyme 2 isoform X1 [Mustela putorius furo]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021536486.1	1212160455	XP_021536486.1 angiotensin-converting enzyme 2 isoform X2 [Neomonachus schauinslandi]	764	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_021536480.1	1212160453	XP_021536480.1 angiotensin-converting enzyme 2 isoform X1 [Neomonachus schauinslandi]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044525200.1	2119497937	XP_044525200.1 angiotensin-converting enzyme 2 [Gracilinanus agilis]	569	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044091953.1	2112828297	XP_044091953.1 angiotensin-converting enzyme 2 [Neogale vison]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_044091952.1	2112828295	XP_044091952.1 angiotensin-converting enzyme 2 [Neogale vison]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043850607.1	2102703229	XP_043850607.1 angiotensin-converting enzyme 2 [Dromiciops gliroides]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043752042.1	2102123570	XP_043752042.1 angiotensin-converting enzyme 2 [Cervus elaphus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043425611.1	2092103399	XP_043425611.1 angiotensin-converting enzyme 2 isoform X3 [Prionailurus bengalensis]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043425610.1	2092103397	XP_043425610.1 angiotensin-converting enzyme 2 isoform X3 [Prionailurus bengalensis]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043425609.1	2092103395	XP_043425609.1 angiotensin-converting enzyme 2 isoform X2 [Prionailurus bengalensis]	744	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043425608.1	2092103393	XP_043425608.1 angiotensin-converting enzyme 2 isoform X1 [Prionailurus bengalensis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_043314478.1	2090189822	XP_043314478.1 angiotensin-converting enzyme 2 [Cervus canadensis]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042830022.1	2080475219	XP_042830022.1 angiotensin-converting enzyme 2 isoform X2 [Panthera tigris]	476	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042830021.1	2080475216	XP_042830021.1 angiotensin-converting enzyme 2 isoform X1 [Panthera tigris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007090142.2	2080475212	XP_007090142.2 angiotensin-converting enzyme 2 isoform X1 [Panthera tigris]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_007951028.1	634881714	XP_007951028.1 angiotensin-converting enzyme 2 [Orycteropus afer afer]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042536456.1	2072346258	XP_042536456.1 angiotensin-converting enzyme 2 [Dipodomys spectabilis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_042536455.1	2072346256	XP_042536455.1 angiotensin-converting enzyme 2 [Dipodomys spectabilis]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_038172230.1	1949709802	XP_038172230.1 angiotensin-converting enzyme 2 isoform X2 [Arvicola amphibius]	556	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_038172229.1	1949709800	XP_038172229.1 angiotensin-converting enzyme 2 isoform X1 [Arvicola amphibius]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_041597790.1	2044214690	XP_041597790.1 angiotensin-converting enzyme 2 isoform X2 [Vulpes lagopus]	683	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_041597789.1	2044214688	XP_041597789.1 angiotensin-converting enzyme 2 isoform X1 [Vulpes lagopus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_041597788.1	2044214686	XP_041597788.1 angiotensin-converting enzyme 2 isoform X1 [Vulpes lagopus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_041495910.1	2038308665	XP_041495910.1 angiotensin-converting enzyme 2 [Microtus oregoni]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040857138.1	2027080197	XP_040857138.1 angiotensin-converting enzyme 2 [Ochotona curzoniae]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_005074266.1	524948478	XP_005074266.1 angiotensin-converting enzyme 2 [Mesocricetus auratus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040490056.1	2023503928	XP_040490056.1 angiotensin-converting enzyme 2 isoform X2 [Ursus maritimus]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040490052.1	2023503926	XP_040490052.1 angiotensin-converting enzyme 2 isoform X1 [Ursus maritimus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_008694637.2	2023503924	XP_008694637.2 angiotensin-converting enzyme 2 isoform X1 [Ursus maritimus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_040122515.1	2009559313	XP_040122515.1 angiotensin-converting enzyme 2 [Oryx dammah]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_001515597.2	1626042915	XP_001515597.2 angiotensin-converting enzyme 2 [Ornithorhynchus anatinus]	806	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_039089864.1	1965465311	XP_039089864.1 angiotensin-converting enzyme 2 isoform X2 [Hyaena hyaena]	791	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_039089863.1	1965465308	XP_039089863.1 angiotensin-converting enzyme 2 isoform X1 [Hyaena hyaena]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_039089862.1	1965465305	XP_039089862.1 angiotensin-converting enzyme 2 isoform X1 [Hyaena hyaena]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_038612998.1	1952387279	XP_038612998.1 angiotensin-converting enzyme 2 [Tachyglossus aculeatus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017367866.1	1044432984	XP_017367866.1 angiotensin-converting enzyme 2 [Cebus imitator]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_017367865.1	1044432982	XP_017367865.1 angiotensin-converting enzyme 2 [Cebus imitator]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037678581.1	1934785406	XP_037678581.1 angiotensin-converting enzyme 2 isoform X3 [Choloepus didactylus]	482	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037678580.1	1934785404	XP_037678580.1 angiotensin-converting enzyme 2 isoform X2 [Choloepus didactylus]	535	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_037678579.1	1934785402	XP_037678579.1 angiotensin-converting enzyme 2 isoform X1 [Choloepus didactylus]	803	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_028743609.1	1622402837	XP_028743609.1 angiotensin-converting enzyme 2 [Peromyscus leucopus]	805	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036696353.1	1920277135	XP_036696353.1 angiotensin-converting enzyme 2 [Balaenoptera musculus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036696352.1	1920277133	XP_036696352.1 angiotensin-converting enzyme 2 [Balaenoptera musculus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036600738.1	1919008400	XP_036600738.1 angiotensin-converting enzyme 2 [Trichosurus vulpecula]	807	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036161735.1	1911212515	XP_036161735.1 angiotensin-converting enzyme 2 isoform X2 [Myotis myotis]	799	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036161734.1	1911212513	XP_036161734.1 angiotensin-converting enzyme 2 isoform X1 [Myotis myotis]	819	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036127494.1	1910881696	XP_036127494.1 angiotensin-converting enzyme 2 isoform X3 [Molossus molossus]	694	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
XP_036127493.1	1910881694	XP_036127493.1 angiotensin-converting enzyme 2 isoform X2 [Molossus molossus]	804	NCBI RefSeq protein via E-utilities	2026-05-01T23:31:44.933000+00:00	ACE2[Gene Name] AND Mammalia[Organism] AND srcdb_refseq[PROP] NOT partial[Title]
